,0,1,2,3,4,5,6,7,8,9,name
Random,0.377572819421877,,,,,,,,,,AutoDL-AUC
Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AutoDL-AUC
Median,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AutoDL-AUC
Average rank,0.9760956591089164,,0.9747084342214196,0.9670127423952608,0.9687485315798909,0.973908307706471,0.9703064864716145,0.9744183529824127,0.9736812461749919,0.971536382913567,AutoDL-AUC
Success rate,0.8625645089123976,0.8793892899172026,,0.8456911030280934,0.859827788804884,0.8851146964329177,0.8557897658388299,0.849745986166299,0.8596501723469177,0.8518093919348166,AutoDL-AUC
Copeland's method,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AutoDL-AUC
Relative difference,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AutoDL-AUC
Random,,0.5848024142375473,0.5422790382966722,0.5449983559801229,0.6154347460936275,0.5241664274454357,0.5143592980029393,0.5757958169526626,0.5979126132016179,0.570829704423564,AutoDL-ALC
Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AutoDL-ALC
Median,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AutoDL-ALC
Average rank,,0.962481912036998,0.9628447643153245,0.9719571513097826,0.9691471344735755,0.9653693141105256,0.9678972960562655,0.9644470243952377,0.970143064603265,0.9721869553560301,AutoDL-ALC
Success rate,0.909076473965825,0.9069269973746612,0.921175505999464,0.9394285348143884,0.9329827119864097,0.9213341900704063,0.926406537849068,0.9303102906139123,0.924191124009122,0.9297899648417837,AutoDL-ALC
Copeland's method,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AutoDL-ALC
Relative difference,0.9787893691295878,0.9686345233713655,0.9732887205873851,0.9767828224407172,0.9832048283230819,0.974767295234245,0.9737077654638926,0.9753492311530734,0.9712705562048334,0.9720900005776674,AutoDL-ALC
Random,,,,,,,,,,,AutoML
Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AutoML
Median,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AutoML
Average rank,0.980553488477881,0.982357040895772,0.9715743607456684,0.9794006133274851,0.9753494424894973,0.9759825955500969,0.9790515220285946,0.9784860212863576,0.9790723273138355,0.9767394142839662,AutoML
Success rate,,0.9535199140657057,0.9388643026442617,0.9424240274319997,0.938637299015311,0.9359426963377336,0.9364509853751725,0.952284866296398,0.9440361676457584,0.9427240642767738,AutoML
Copeland's method,0.9772083517047955,0.9715075087347609,0.9640464132213409,0.9698797405491,0.967790023078075,0.9689443054798103,,0.974414143902321,0.9724474009209771,0.9699726619984887,AutoML
Relative difference,0.9745417579053943,0.9758472537563447,0.977522568414198,0.9795987335894387,0.9835603172337867,0.9835389459025824,0.979976416738745,0.9781415655052019,0.9783969565787749,0.9836745342199888,AutoML
Random,-0.008875821148548424,0.00968867159776251,0.007420397784034145,0.0023810734719825607,-0.004085813176722266,-0.005662563026199391,-0.008649431376704105,-0.004244913335822432,-0.0008722052358416027,-0.005729936729936731,Artificial
Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Artificial
Median,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Artificial
Average rank,0.8422468468552203,0.8360243944695271,0.8241347463707847,0.8299657703899678,0.8362115327569996,0.8396156209039708,0.8496595898333463,0.8359161820944893,0.8438256619959905,0.8368194407227549,Artificial
Success rate,0.35547328747121004,0.38792915695035146,0.3266711905025285,0.38293279874302455,0.367864692016486,0.3922729806675777,0.4042514753118234,0.35790257351750593,0.37284902591661073,0.3667231099880523,Artificial
Copeland's method,,0.8558058926669033,0.8566549630596247,0.8740086476242118,0.8531808064202809,0.8726252156402339,0.8662902526969599,0.8576325629816248,0.8550233202309037,0.8570071762251648,Artificial
Relative difference,0.559000716455262,0.554053959508505,0.5455393259938714,0.6068403280221463,0.6009435480344573,0.5941896722805814,0.6194747054292511,0.5601129611129612,0.6079868885323431,0.577275172638809,Artificial
Random,0.2923830442842808,0.33395765345892625,0.33178610223518595,0.2888959700343244,0.3282365375255578,0.35835920605675403,0.3280921811388406,0.3724105726749127,0.31064727480932103,0.3120919995398381,OpenML
Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OpenML
Median,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OpenML
Average rank,0.9994285737208108,0.9993974914187076,0.999371850118502,0.9993803753205824,0.99936591572307,0.9993995583928105,0.9993424453750912,0.9994222741919054,0.9993661174187572,0.9993842180690885,OpenML
Success rate,0.9992711840539228,0.9992332595900023,0.9992197961032613,0.9992517526318689,0.9992204498545372,0.9992373964938583,0.9991942029031965,0.9992739053749201,0.9992099151919536,0.9992391764572608,OpenML
Copeland's method,0.9987364019960954,0.9986410922134665,0.9986368383897949,0.9986590499900174,0.9986168708945902,0.99860018587248,0.9986520706065878,0.998712215719116,0.9986738940644261,0.9986828361086277,OpenML
Relative difference,0.9999741935476171,0.9999741014207933,0.9999788698985503,0.9999779230892609,0.9999759552442367,0.9999713804339758,0.9999775643497152,0.9999773880510804,0.9999771147780067,0.9999764112190362,OpenML
Random,0.2927875705763637,0.24675215127716818,0.2688046452827189,0.2062534501659005,0.22063187615264118,0.2527675604291782,0.26256842901362104,0.288733464204185,0.23749188402418506,0.25347373006362117,Statlog
Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Statlog
Median,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Statlog
Average rank,0.9672929673281534,0.9646933048772409,0.9686024254209921,0.9595429001103559,0.9660038726570258,0.9661808190008326,0.9667637147969103,0.9735130171159556,0.9673903960880677,0.9651676337942134,Statlog
Success rate,0.9395723933849854,0.9301683573064967,0.9393564804792349,0.9202243434351582,0.9275382967771161,0.9242572263371721,0.9314257629573963,0.9414331315591115,0.931586039918501,0.9246176319648,Statlog
Copeland's method,0.9639478269316598,0.956368606280612,0.9590067209964954,0.9562110907444678,0.9516955890177613,0.9594299436492453,0.9592186048671709,0.9663987303478636,0.9580862578048025,0.9592009263786766,Statlog
Relative difference,0.9908853608265373,0.9924021246133546,0.9918731576405374,0.9887235037689582,0.9911411596919619,0.9916207412116503,0.9909944076521615,0.9930272164951309,0.9913927226467334,0.9909696123840509,Statlog
